Issue Number; Title; Github URL; Labels; State; Created At; Updated At; Reporter; Assignee
752; "QUID of this ? opds feed with an image in it"; https://github.com/edrlab/thorium-reader/issues/752; ""; closed; 09/30/2019; 09/30/2019; panaC; 
751; "OPDS search is URL percent-escaped in breadcrumb path"; https://github.com/edrlab/thorium-reader/issues/751; ""; closed; 09/28/2019; 10/08/2019; danielweck; Scarsniik
750; "library/bookshelf: delete publication, scroll (press arrow) => fatal crash (white window)"; https://github.com/edrlab/thorium-reader/issues/750; ""; closed; 09/28/2019; 10/07/2019; danielweck; Scarsniik
749; "fixes OPDS download, Fixes #743"; https://github.com/edrlab/thorium-reader/pull/749; ""; closed; 09/28/2019; 09/28/2019; danielweck; 
748; "OPDS relative paths (images, EPUBs, etc.) fail (URL resolution)"; https://github.com/edrlab/thorium-reader/issues/748; ""; closed; 09/27/2019; 10/03/2019; danielweck; Scarsniik
747; "updated NPM package dependencies, including R2 components"; https://github.com/edrlab/thorium-reader/pull/747; ""; closed; 09/27/2019; 09/27/2019; danielweck; 
746; "Fixes #724 : fixes publication export"; https://github.com/edrlab/thorium-reader/pull/746; ""; closed; 09/27/2019; 10/09/2019; Scarsniik; 
745; "Bookmarks list: label overflow"; https://github.com/edrlab/thorium-reader/issues/745; ""; closed; 09/27/2019; 10/01/2019; danielweck; Scarsniik
744; "error with an opds feed"; https://github.com/edrlab/thorium-reader/issues/744; ""; closed; 09/27/2019; 09/27/2019; panaC; 
743; "crash when import book on bnf.fr"; https://github.com/edrlab/thorium-reader/issues/743; ""; closed; 09/27/2019; 09/28/2019; panaC; danielweck
742; "Breadcrumb not sync with browser"; https://github.com/edrlab/thorium-reader/issues/742; ""; closed; 09/27/2019; 09/27/2019; panaC; Scarsniik
741; "in reader topbar button isn't alligned"; https://github.com/edrlab/thorium-reader/issues/741; "enhancement,user-interface"; closed; 09/27/2019; 10/04/2019; panaC; Scarsniik
740; "When i remove a publication, I cannot import it again"; https://github.com/edrlab/thorium-reader/issues/740; ""; closed; 09/27/2019; 09/28/2019; panaC; danielweck
739; "Link.Href is not set! (and no child Links)"; https://github.com/edrlab/thorium-reader/issues/739; ""; closed; 09/27/2019; 09/28/2019; panaC; 
738; "When i click on the link in a publication: I'm redirect in browser with error"; https://github.com/edrlab/thorium-reader/issues/738; ""; closed; 09/27/2019; 09/28/2019; panaC; danielweck
737; "Fixes #723 : don't accept empty string for bookmark name"; https://github.com/edrlab/thorium-reader/pull/737; ""; closed; 09/27/2019; 10/02/2019; Scarsniik; 
736; "Library/bookshelf and reader BrowserWindows, `webSecurity` (`same-origin` content security policy for CORS requests)"; https://github.com/edrlab/thorium-reader/issues/736; ""; closed; 09/26/2019; 09/26/2019; danielweck; 
735; "WIP DO NOT MERGE [fix #608] add opds feed catalog in add feed modal"; https://github.com/edrlab/thorium-reader/pull/735; ""; closed; 09/26/2019; 12/02/2020; panaC; panaC
734; "add keyboard navigation for bookmarks and  click on th icon"; https://github.com/edrlab/thorium-reader/pull/734; ""; closed; 09/25/2019; 09/27/2019; Scarsniik; 
733; "Fixes #462 : add pagination in opds feed result"; https://github.com/edrlab/thorium-reader/pull/733; ""; closed; 09/25/2019; 10/03/2019; Scarsniik; 
732; "feature request: button to reset settings to initial values (ReadiumCSS: theme, font size, line spacing, etc.)"; https://github.com/edrlab/thorium-reader/issues/732; ""; closed; 09/25/2019; 02/11/2021; danielweck; 
731; "NPM package updates"; https://github.com/edrlab/thorium-reader/pull/731; ""; closed; 09/25/2019; 09/25/2019; danielweck; 
730; "Breadcrumbs, iterated DOM structure, React keys"; https://github.com/edrlab/thorium-reader/issues/730; ""; closed; 09/24/2019; 10/09/2019; danielweck; Scarsniik
729; "forgot message line"; https://github.com/edrlab/thorium-reader/pull/729; ""; closed; 09/24/2019; 09/24/2019; panaC; 
728; "Detection of network connectivity, global application state for internet-dependent features, e.g. OPDS, LCP-LSD, etc."; https://github.com/edrlab/thorium-reader/issues/728; ""; closed; 09/24/2019; 10/14/2020; danielweck; 
727; "[fix #726] added no internet message on browser"; https://github.com/edrlab/thorium-reader/pull/727; ""; closed; 09/24/2019; 09/24/2019; panaC; 
726; "Enhance messages when offline"; https://github.com/edrlab/thorium-reader/issues/726; ""; closed; 09/24/2019; 09/24/2019; llemeurfr; panaC
725; "Support on-screen touch swipe gesture to change pages"; https://github.com/edrlab/thorium-reader/issues/725; "mouse-touch,user-interface,feature"; open; 09/24/2019; 01/23/2023; llemeurfr; danielweck
724; "Regression: Export does not work anymore"; https://github.com/edrlab/thorium-reader/issues/724; "bug"; closed; 09/24/2019; 10/09/2019; llemeurfr; Scarsniik
723; "Bookmarks list: label should not be allowed to be edited to an 'empty' value (whitespaces only)"; https://github.com/edrlab/thorium-reader/issues/723; ""; closed; 09/23/2019; 10/02/2019; danielweck; Scarsniik
722; "Bookmarks list: hyperlink activation only with mouse (must implement keyboard support)"; https://github.com/edrlab/thorium-reader/issues/722; ""; closed; 09/23/2019; 09/27/2019; danielweck; Scarsniik
721; "Bookmarks section: list item's left-aligned icon can be clicked, but does not ativate hyperlink to saved reading location"; https://github.com/edrlab/thorium-reader/issues/721; ""; closed; 09/23/2019; 09/27/2019; danielweck; Scarsniik
720; "Fixes #507 : bookmark section is close when it's empty"; https://github.com/edrlab/thorium-reader/pull/720; ""; closed; 09/23/2019; 09/23/2019; Scarsniik; 
719; "Fixes #571 : Feedback on bookmark click for screen readers"; https://github.com/edrlab/thorium-reader/pull/719; ""; closed; 09/23/2019; 09/23/2019; Scarsniik; 
718; "add an opds feed list in 'add opds feed' modal with a severless api"; https://github.com/edrlab/thorium-reader/issues/718; ""; closed; 09/23/2019; 09/23/2019; panaC; 
717; "Reader config data structure, TypeScript interface with arbitrary fields"; https://github.com/edrlab/thorium-reader/issues/717; ""; closed; 09/23/2019; 10/14/2020; danielweck; 
716; "Fixes #685 : fix default values of reader settings"; https://github.com/edrlab/thorium-reader/pull/716; ""; closed; 09/23/2019; 09/24/2019; Scarsniik; 
715; "[fix #699] cli default command"; https://github.com/edrlab/thorium-reader/pull/715; ""; closed; 09/23/2019; 09/23/2019; panaC; panaC
714; "[fix #701] cli import and opds"; https://github.com/edrlab/thorium-reader/pull/714; ""; closed; 09/23/2019; 09/23/2019; panaC; panaC
713; "fix requestData empty"; https://github.com/edrlab/thorium-reader/pull/713; ""; closed; 09/20/2019; 09/23/2019; panaC; panaC
